,precision,recall,f1-score,support
0,0.3076923076923077,0.12121212121212122,0.17391304347826086,66.0
1,0.4411764705882353,0.14563106796116504,0.21897810218978103,103.0
2,0.34594594594594597,0.2909090909090909,0.3160493827160494,220.0
3,0.0,0.0,0.0,23.0
4,0.2900763358778626,0.17040358744394618,0.21468926553672316,223.0
5,0.7587476979742173,0.9217002237136466,0.8323232323232324,1341.0
6,0.0,0.0,0.0,29.0
accuracy,0.6788029925187032,0.6788029925187032,0.6788029925187032,0.6788029925187032
macro avg,0.3062341082969384,0.23569372731999572,0.25085043232057813,2005.0
weighted avg,0.6104861160950511,0.6788029925187032,0.6322119852133603,2005.0
