,precision,recall,f1-score,support
0,0.4,0.12121212121212122,0.18604651162790697,66.0
1,0.34210526315789475,0.1262135922330097,0.18439716312056736,103.0
2,0.4457831325301205,0.33636363636363636,0.38341968911917096,220.0
3,0.0,0.0,0.0,23.0
4,0.36585365853658536,0.20179372197309417,0.26011560693641617,223.0
5,0.7495473747736874,0.9261744966442953,0.828552368245497,1341.0
6,0.0,0.0,0.0,29.0
accuracy,0.6892768079800499,0.6892768079800499,0.6892768079800499,0.6892768079800499
macro avg,0.3290413469997554,0.24453679548945098,0.26321876272136546,2005.0
weighted avg,0.6216646018389341,0.6892768079800499,0.640757513884843,2005.0
