,precision,recall,f1-score,support
0,0.3225806451612903,0.15151515151515152,0.20618556701030927,66.0
1,0.3582089552238806,0.23300970873786409,0.2823529411764706,103.0
2,0.35664335664335667,0.2318181818181818,0.2809917355371901,220.0
3,0.0,0.0,0.0,23.0
4,0.3413173652694611,0.2556053811659193,0.2923076923076923,223.0
5,0.7631578947368421,0.9082774049217002,0.8294177732379979,1341.0
6,0.0,0.0,0.0,29.0
accuracy,0.6783042394014963,0.6783042394014963,0.6783042394014963,0.6783042394014963
macro avg,0.3059868881478329,0.25431797545125956,0.2701793870385229,2005.0
weighted avg,0.6165366048515902,0.6783042394014963,0.6393728835305782,2005.0
