,precision,recall,f1-score,support
0,0.5,0.2878787878787879,0.36538461538461536,66.0
1,0.49122807017543857,0.27184466019417475,0.35,103.0
2,0.4573170731707317,0.3409090909090909,0.390625,220.0
3,0.6,0.13043478260869565,0.21428571428571427,23.0
4,0.4744525547445255,0.2914798206278027,0.3611111111111111,223.0
5,0.795583596214511,0.9403430275913497,0.8619275461380724,1341.0
6,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
accuracy,0.7316708229426434,0.7316708229426434,0.7316708229426434,0.7316708229426434
macro avg,0.5943837939233002,0.4020877582487051,0.45857152194088274,2005.0
weighted avg,0.6958143751565579,0.7316708229426434,0.7016146665966195,2005.0
